fs80,fs_category,description,lines_in_corpus,count_listed_on_site
910,"Symbols, motifs, geometric patterns",Inscribed object in the shape of a double shield or double-axe (?),17,17
920,"Symbols, motifs, geometric patterns",Inscribed object in the shape of a writing table (?),3,3
930,"Symbols, motifs, geometric patterns",Inscribed object in the shape of a crescent.,6,6
940,"Symbols, motifs, geometric patterns",Radiating solar symbol.,1,1
950,"Symbols, motifs, geometric patterns",Double-axe (?) without shaft.,1,1
960,"Symbols, motifs, geometric patterns",Motif in pottery graffito showing a rectangular enclosure with four marks within looking like X and V.,1,1
971,"Symbols, motifs, geometric patterns",A geometrical pattern of unevenly spaced parallel vertical lines in the field.,3,3
972,"Symbols, motifs, geometric patterns",,4,0
973,"Symbols, motifs, geometric patterns",A geometrical pattern of a cross in the centre framed by parallel horizontal lines in the field.,8,8
974,"Symbols, motifs, geometric patterns",A geometrical pattern of inter-woven slanted crosses the field.,10,10
975,"Symbols, motifs, geometric patterns",A geometrical pattern of slanted grid-like lines in the field,1,1
981,"Symbols, motifs, geometric patterns",Ornamental borders at either end of the field consisting of vertical lines.,6,6
982,"Symbols, motifs, geometric patterns",Ornamental borders at either end of the field consisting of two or three parallel lines and a circle (sometimes dotted within).,3,3
983,"Symbols, motifs, geometric patterns",Ornamental borders at either end of the field consisting of X-like lines.,1,1
984,"Symbols, motifs, geometric patterns",Ornamental borders of hatched lines at one or both ends of the field.,6,6
985,"Symbols, motifs, geometric patterns",Ornamental borders at one or both ends of the field consisting of frieze of small circles.,3,3
986,"Symbols, motifs, geometric patterns","Elaborate ornamental borders comprising bands of X-like lines, vertical lines and circles at one or both ends of the field.",2,2
987,"Symbols, motifs, geometric patterns",Ornamental borders comprising of hatched lines and vertical lines at either end of the field.,2,2
988,"Symbols, motifs, geometric patterns",Ornamental borders consisting of a frieze of T-shaped motifs placed around the edge of the inscribed object.,2,2
999,Damaged/illegible,An uncertain/illegible field symbol.,38,36
0,No field symbol,No Field Symbol,1788,1345
